Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product name,Product Quantity,UOM,MRP,Price,Short Product Description,Long Product Description,SKU Code,Manufacturer,Country Of Origin,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD Available (Y/N),Images,Images.1,Images.2,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,Net Quantity,Brand,Pack Quantity,Pack Size,UPC/EAN,FSSAI no,Preservatives,Preservatives (details),Flavours & Spices,Ready to cook,Ready to eat,Rice grain type,Recommended Age ,Baby Weight,Absorption Duration (in Hrs),Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Ingredients,Usage,Marketed By,Nutritional Facts
EU00002490,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,"Dabur Glucose -D Energy Boost with Vitamin D, 500 g (450gm + 50gm free)",500 g (450g m + 50g m free),Grams,125,118.75,"The Dabur Glucose D is a powder mix used to create an energy drink that quickly revitalizes you. Made for children, sportspeople or anyone with an active lifestyle, the Dabur Glucose D is an optimized mix, vitamins and minerals designed to quickly quench your thirst.", , ,,,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_251444_4-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-2_4-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-3_4-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-4_4-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-5_4-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-6_4-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-7_2-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_251444-8_2-dabur-glucose-d-energy-boost-with-vitamin-d.jpg,,,, ,Dabur, , ,,, , , , , , , , , , , , , , , , ,"Dextrose monohydrate, vitamin D, calcium phosphates",,,(per 100g)* Energy 360 kcal* Carbohydrates 90g* Added sugar 0g* Fat 0g* Protein 0g* Phosphorus 100mg* Calcium 170 mg* Vitamin D 0.0075mg
EU00002491,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,"Manna Go Grains Multigrain Instant Drink Mix - For Growth and Immunity, Classic Malt Flavour, 200 g",200 g ,Grams,139,83.4,"Manna Go Grains is a specially formulated blend of cereals, millets, pulses and milk protein, enriched with vitamins and minerals for your child's overall growth and immunity. Each serve of Manna Go Grains delivers 6 grams of grains, 9% of your child's daily requirement of protein and 33% RDA of 24 vitamins and minerals. Store in a cool and dry place away from sunlight.", , ,"Southern Health Foods Pvt Ltd, Uthandikandigai Village, Ponneri Post and Ponneri Taluk, Chennai - 601204.",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40221508_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-2_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-3_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-4_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-5_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-6_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-7_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-8_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40221508-9_1-manna-go-grains-malt-health-and-nutrition-multigrain-malted-drink-for-growth-immunity.jpg,,, ,Manna, , ,'8906008351705,'10013042001197, , , , , , , , , , , , , , , , ,"Grains 26% (Cereals and Pulse - 19% | Wheat, Maize, Barley, Bengal Gram, Millets - 7%| Jowar, Bajra, Ragi), Malted Barley (Extracted Solids) - 23%, Milk Solids - 20%, Maltodextrin, Sugar, Minerals, Vitamins, Natural Colour, Stabilizers, Steviol, Glycoside.","Take 2 heaped teaspoons (approx. 24g) of Manna Go Grains in a glass.
Add 3/4th cup (180ml) of warm milk.
Pour the contents into another cup and repeat for a smooth frothy drink.","Southern Health Foods Pvt Ltd, Uthandikandigai Village, Ponneri Post and Ponneri Taluk, Chennai - 601204.","As Per - 100 g

Protein 11 g
Carbohydrates - 80 g
Sugar - 18 g
Dietary Fibre - 4 g
Fat - 1 g
Vitamin B1 - 1.1 mg
Vitamin B2 - 1.4 mg
Vitamin B3 - 17.9 mg
Vitamin B5 - 6.9 mg
Vitamin B6 - 2.2 mg
Vitamin B7 - 41.3 mcg
Vitamin B9 (Folic Acid) - 165 mg
Vitmain B12 - 1.4 mcg
Vitamin A - 825 mcg
Vitamin C - 55 mg
Vitamin D - 13.6 mcg
Vitamin E - 10.3 mg
Vitamin K - 75.6 mcg
Iodine (along with iron) - 165 mcg
